"ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC",
12217,1221702,30255,"HSV","Huntsville, AL","AL","01","Alabama",51,
12250,1225002,32250,"HYA","Hyannis, MA","MA","25","Massachusetts",13,
12255,1225502,32255,"HYS","Hays, KS","KS","20","Kansas",62,
12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,
12265,1226503,32265,"IAG","Niagara Falls, NY","NY","36","New York",22,
12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,
12278,1227803,30928,"ICT","Wichita, KS","KS","20","Kansas",62,
12280,1228002,32280,"IDA","Idaho Falls, ID","ID","16","Idaho",83,
12323,1232303,32323,"ILM","Wilmington, NC","NC","37","North Carolina",36,
12335,1233502,32335,"IMT","Iron Mountain/Kingsfd, MI","MI","26","Michigan",43,
12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,
12343,1234303,32343,"INL","International Falls, MN","MN","27","Minnesota",63,
12389,1238902,32389,"ISN","Williston, ND","ND","38","North Dakota",66,
12391,1239102,31703,"ISP","Islip, NY","NY","36","New York",22,
12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY","36","New York",22,
12402,1240203,32402,"ITO","Hilo, HI","HI","15","Hawaii",2,
12441,1244102,32441,"JAC","Jackson, WY","WY","56","Wyoming",88,
12448,1244805,32448,"JAN","Jackson/Vicksburg, MS","MS","28","Mississippi",53,
12451,1245102,31136,"JAX","Jacksonville, FL","FL","12","Florida",33,
12478,1247803,31703,"JFK","New York, NY","NY","36","New York",22,
12511,1251102,32511,"JLN","Joplin, MO","MO","29","Missouri",64,
12519,1251902,32519,"JMS","Jamestown, ND","ND","38","North Dakota",66,
12523,1252304,32523,"JNU","Juneau, AK","AK","02","Alaska",1,
12758,1275803,32758,"KOA","Kona, HI","HI","15","Hawaii",2,
12819,1281902,31401,"KTN","Ketchikan, AK","AK","02","Alaska",1,
12884,1288403,32884,"LAN","Lansing, MI","MI","26","Michigan",43,
12888,1288802,32888,"LAR","Laramie, WY","WY","56","Wyoming",88,
12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,
12891,1289102,32891,"LAW","Lawton/Fort Sill, OK","OK","40","Oklahoma",73,
12892,1289205,32575,"LAX","Los Angeles, CA","CA","06","California",91,
12896,1289605,32896,"LBB","Lubbock, TX","TX","48","Texas",74,
12898,1289804,32898,"LBE","Latrobe, PA","PA","42","Pennsylvania",23,
12915,1291503,31205,"LCH","Lake Charles, LA","LA","22","Louisiana",72,
12945,1294503,32945,"LEX","Lexington, KY","KY","21","Kentucky",52,
12951,1295104,32951,"LFT","Lafayette, LA","LA","22","Louisiana",72,
12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,
12954,1295403,32575,"LGB","Long Beach, CA","CA","06","California",91,
12982,1298202,32982,"LIH","Lihue, HI","HI","15","Hawaii",2,
12992,1299204,32600,"LIT","Little Rock, AR","AR","05","Arkansas",71,
13029,1302902,33029,"LNK","Lincoln, NE","NE","31","Nebraska",65,
13061,1306104,33038,"LRD","Laredo, TX","TX","48","Texas",74,
13076,1307603,33076,"LSE","La Crosse, WI","WI","55","Wisconsin",45,
13127,1312702,33127,"LWS","Lewiston, ID","ID","16","Idaho",83,
13158,1315803,33158,"MAF","Midland/Odessa, TX","TX","48","Texas",74,
13184,1318403,33184,"MBS","Saginaw/Bay City/Midland, MI","MI","26","Michigan",43,
13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,
13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida",33,
13230,1323002,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,
13232,1323202,30977,"MDW","Chicago, IL","IL","17","Illinois",41,
13241,1324102,33241,"MEI","Meridian, MS","MS","28","Mississippi",53,
13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,
13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,
13264,1326403,33264,"MFR","Medford, OR","OR","41","Oregon",92,
13277,1327702,33277,"MGM","Montgomery, AL","AL","01","Alabama",51,
13290,1329002,33290,"MHK","Manhattan/Ft. Riley, KS","KS","20","Kansas",62,
13296,1329604,30721,"MHT","Manchester, NH","NH","33","New Hampshire",14,
13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,
13342,1334205,33342,"MKE","Milwaukee, WI","WI","55","Wisconsin",45,
13344,1334402,33344,"MKG","Muskegon, MI","MI","26","Michigan",43,
13360,1336003,33360,"MLB","Melbourne, FL","FL","12","Florida",33,
13367,1336703,33367,"MLI","Moline, IL","IL","17","Illinois",41,
13377,1337702,33377,"MLU","Monroe, LA","LA","22","Louisiana",72,
13422,1342202,30562,"MOB","Mobile, AL","AL","01","Alabama",51,
13433,1343302,33304,"MOT","Minot, ND","ND","38","North Dakota",66,
13459,1345902,33459,"MQT","Marquette, MI","MI","26","Michigan",43,
13476,1347603,34922,"MRY","Monterey, CA","CA","06","California",91,
13485,1348502,33485,"MSN","Madison, WI","WI","55","Wisconsin",45,
13486,1348602,33486,"MSO","Missoula, MT","MT","30","Montana",84,
13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,
13495,1349503,33495,"MSY","New Orleans, LA","LA","22","Louisiana",72,
13502,1350202,33502,"MTJ","Montrose/Delta, CO","CO","08","Colorado",82,
13541,1354102,33541,"MVY","Martha's Vineyard, MA","MA","25","Massachusetts",13,
13577,1357702,31135,"MYR","Myrtle Beach, SC","SC","45","South Carolina",37,
13795,1379502,33795,"OAJ","Jacksonville/Camp Lejeune, NC","NC","37","North Carolina",36,
13796,1379604,32457,"OAK","Oakland, CA","CA","06","California",91,
13830,1383002,33830,"OGG","Kahului, HI","HI","15","Hawaii",2,
13851,1385103,33851,"OKC","Oklahoma City, OK","OK","40","Oklahoma",73,
13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,
13873,1387303,33873,"OME","Nome, AK","AK","02","Alaska",1,
13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,
13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois",41,
13931,1393102,33667,"ORF","Norfolk, VA","VA","51","Virginia",38,
13933,1393303,33933,"ORH","Worcester, MA","MA","25","Massachusetts",13,
13964,1396403,33964,"OTH","North Bend/Coos Bay, OR","OR","41","Oregon",92,
13970,1397003,33970,"OTZ","Kotzebue, AK","AK","02","Alaska",1,
14006,1400602,34006,"PAH","Paducah, KY","KY","21","Kentucky",52,
14025,1402501,34025,"PBG","Plattsburgh, NY","NY","36","New York",22,
14027,1402702,34027,"PBI","West Palm Beach/Palm Beach, FL","FL","12","Florida",33,
14057,1405702,34057,"PDX","Portland, OR","OR","41","Oregon",92,
14098,1409803,33667,"PHF","Newport News/Williamsburg, VA","VA","51","Virginia",38,
14100,1410002,34100,"PHL","Philadelphia, PA","PA","42","Pennsylvania",23,
14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,
14108,1410803,34108,"PIA","Peoria, IL","IL","17","Illinois",41,
14109,1410902,34109,"PIB","Hattiesburg/Laurel, MS","MS","28","Mississippi",53,
14113,1411302,34113,"PIH","Pocatello, ID","ID","16","Idaho",83,
14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,
14150,1415002,34150,"PLN","Pellston, MI","MI","26","Michigan",43,
14193,1419304,33728,"PNS","Pensacola, FL","FL","12","Florida",33,
14222,1422204,34222,"PPG","Pago Pago, TT","TT","75","U.S. Pacific Trust Territories and Possessions",5,
14252,1425202,34252,"PSC","Pasco/Kennewick/Richland, WA","WA","53","Washington",93,
14254,1425403,34254,"PSE","Ponce, PR","PR","72","Puerto Rico",3,
14256,1425603,34256,"PSG","Petersburg, AK","AK","02","Alaska",1,
14262,1426204,34262,"PSP","Palm Springs, CA","CA","06","California",91,
14307,1430702,30721,"PVD","Providence, RI","RI","44","Rhode Island",15,
14321,1432103,34321,"PWM","Portland, ME","ME","23","Maine",12,
14457,1445702,34457,"RAP","Rapid City, SD","SD","46","South Dakota",67,
14487,1448702,33792,"RDD","Redding, CA","CA","06","California",91,
14489,1448902,34489,"RDM","Bend/Redmond, OR","OR","41","Oregon",92,
14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,
14520,1452002,34520,"RHI","Rhinelander, WI","WI","55","Wisconsin",45,
14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,
14543,1454302,34543,"RKS","Rock Springs, WY","WY","56","Wyoming",88,
14570,1457002,34570,"RNO","Reno, NV","NV","32","Nevada",85,
14574,1457403,34574,"ROA","Roanoke, VA","VA","51","Virginia",38,
14576,1457604,34576,"ROC","Rochester, NY","NY","36","New York",22,
14588,1458801,34588,"ROW","Roswell, NM","NM","35","New Mexico",86,
14633,1463303,32547,"RST","Rochester, MN","MN","27","Minnesota",63,
14635,1463502,31714,"RSW","Fort Myers, FL","FL","12","Florida",33,
14674,1467402,34674,"SAF","Santa Fe, NM","NM","35","New Mexico",86,
14679,1467903,33570,"SAN","San Diego, CA","CA","06","California",91,
14683,1468303,33214,"SAT","San Antonio, TX","TX","48","Texas",74,
14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,
14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,
14696,1469606,34696,"SBN","South Bend, IN","IN","18","Indiana",42,
14698,1469802,34236,"SBP","San Luis Obispo, CA","CA","06","California",91,
14709,1470903,30073,"SCC","Deadhorse, AK","AK","02","Alaska",1,
14711,1471102,34711,"SCE","State College, PA","PA","42","Pennsylvania",23,
14730,1473003,33044,"SDF","Louisville, KY","KY","21","Kentucky",52,
14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,
14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,
14783,1478302,34783,"SGF","Springfield, MO","MO","29","Missouri",64,
14794,1479403,34794,"SGU","St. George, UT","UT","49","Utah",87,
14814,1481402,30476,"SHV","Shreveport, LA","LA","22","Louisiana",72,
14828,1482803,34828,"SIT","Sitka, AK","AK","02","Alaska",1,
14831,1483104,32457,"SJC","San Jose, CA","CA","06","California",91,
14842,1484202,34842,"SJT","San Angelo, TX","TX","48","Texas",74,
14843,1484304,34819,"SJU","San Juan, PR","PR","72","Puerto Rico",3,
14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,
14893,1489302,33192,"SMF","Sacramento, CA","CA","06","California",91,
14908,1490803,32575,"SNA","Santa Ana, CA","CA","06","California",91,
14952,1495203,34952,"SPI","Springfield, IL","IL","17","Illinois",41,
14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,
15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,
15023,1502303,34433,"STS","Santa Rosa, CA","CA","06","California",91,
15024,1502403,34945,"STT","Charlotte Amalie, VI","VI","78","U.S. Virgin Islands",4,
15027,1502704,34992,"STX","Christiansted, VI","VI","78","U.S. Virgin Islands",4,
15041,1504102,35041,"SUN","Sun Valley/Hailey/Ketchum, ID","ID","16","Idaho",83,
15048,1504803,35048,"SUX","Sioux City, IA","IA","19","Iowa",61,
15070,1507002,31703,"SWF","Newburgh/Poughkeepsie, NY","NY","36","New York",22,
15096,1509602,35096,"SYR","Syracuse, NY","NY","36","New York",22,
15249,1524904,35249,"TLH","Tallahassee, FL","FL","12","Florida",33,
15295,1529502,35165,"TOL","Toledo, OH","OH","39","Ohio",44,
15304,1530402,33195,"TPA","Tampa, FL","FL","12","Florida",33,
15323,1532302,35323,"TRI","Bristol/Johnson City/Kingsport, TN","TN","47","Tennessee",54,
15356,1535602,35356,"TTN","Trenton, NJ","NJ","34","New Jersey",21,
15370,1537002,34653,"TUL","Tulsa, OK","OK","40","Oklahoma",73,
15376,1537602,30436,"TUS","Tucson, AZ","AZ","04","Arizona",81,
15380,1538003,35380,"TVC","Traverse City, MI","MI","26","Michigan",43,
15389,1538902,35389,"TWF","Twin Falls, ID","ID","16","Idaho",83,
15411,1541103,35411,"TYR","Tyler, TX","TX","48","Texas",74,
15412,1541203,35412,"TYS","Knoxville, TN","TN","47","Tennessee",54,
15497,1549703,35497,"UST","St. Augustine, FL","FL","12","Florida",33,
15607,1560702,35550,"VLD","Valdosta, GA","GA","13","Georgia",34,
15624,1562402,31504,"VPS","Valparaiso, FL","FL","12","Florida",33,
15841,1584102,35841,"WRG","Wrangell, AK","AK","02","Alaska",1,
15897,1589702,35897,"WYS","West Yellowstone, MT","MT","30","Montana",84,
15919,1591902,31834,"XNA","Fayetteville, AR","AR","05","Arkansas",71,
15991,1599102,35991,"YAK","Yakutat, AK","AK","02","Alaska",1,
16218,1621801,33785,"YUM","Yuma, AZ","AZ","04","Arizona",81,
